User ID,Instrument,Amount,Lots,Action,Open Time (UK - GMT/BST),Open Rate
154077,XAUUSD,10,0.1,BUY,2025-05-19 10:00:01,3245.09
149014,XAUUSD,1,0.01,SELL,2025-05-19 10:02:16,3245.9
147989,XAUUSD,1,0.01,SELL,2025-05-19 10:07:55,3243.7
155940,XAUUSD,5,0.05,BUY,2025-05-19 10:08:00,3244.58
147989,XAUUSD,1,0.01,SELL,2025-05-19 10:08:07,3244.12
147989,XAUUSD,1,0.01,SELL,2025-05-19 10:08:19,3244.28
147989,XAUUSD,1,0.01,SELL,2025-05-19 10:08:29,3244.05
149014,XAUUSD,1,0.01,SELL,2025-05-19 10:11:25,3239.86
149014,XAUUSD,1,0.01,SELL,2025-05-19 10:18:24,3234.59
155856,XAUUSD,5,0.05,SELL,2025-05-19 10:19:16,3234.97
155804,XAUUSD,1,0.01,SELL,2025-05-19 10:19:46,3235.54
147989,XAUUSD,1,0.01,SELL,2025-05-19 10:22:29,3236.71
155804,XAUUSD,1,0.01,SELL,2025-05-19 10:35:32,3238.7
150375,XAUUSD,1,0.01,BUY,2025-05-19 10:39:51,3240.66
154956,XAUUSD,5,0.05,SELL,2025-05-19 10:41:26,3241.05
156095,XAUUSD,1,0.01,SELL,2025-05-19 10:44:57,3238.95
154956,XAUUSD,5,0.05,SELL,2025-05-19 10:46:15,3238.61
133626,XAUUSD,1,0.01,BUY,2025-05-19 10:55:15,3241.58
153524,XAUUSD,1,0.01,SELL,2025-05-19 12:02:50,3240.17
155856,XAUUSD,10,0.1,BUY,2025-05-19 12:17:08,3243.53
153524,XAUUSD,1,0.01,BUY,2025-05-19 12:39:29,3245.95
128739,XAUUSD,1,0.01,BUY,2025-05-19 12:40:26,3246.18
134912,XAUUSD,1,0.01,BUY,2025-05-19 12:40:27,3246.17
155856,XAUUSD,10,0.1,BUY,2025-05-19 12:47:27,3248.44
156095,XAUUSD,1,0.01,SELL,2025-05-19 12:49:30,3244.42
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:12:11,3242.99
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:25:22,3240.61
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:27:17,3243.06
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:37:24,3241.28
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:38:51,3242.78
155940,XAUUSD,5,0.05,BUY,2025-05-19 13:43:39,3242.9
150375,XAUUSD,1,0.01,SELL,2025-05-19 13:49:33,3239.1
155856,XAUUSD,1,0.01,BUY,2025-05-19 13:49:49,3239.43
132359,XAUUSD,2,0.02,BUY,2025-05-19 13:50:54,3236.61
155856,XAUUSD,10,0.1,BUY,2025-05-19 13:52:18,3236.52
129107,XAUUSD,1,0.01,BUY,2025-05-19 13:53:09,3235
150375,XAUUSD,1,0.01,BUY,2025-05-19 13:53:45,3234.96
155948,XAUUSD,1,0.01,BUY,2025-05-19 13:54:46,3234.69
155948,XAUUSD,1,0.01,BUY,2025-05-19 13:55:41,3233.72
126560,XAUUSD,5,0.05,SELL,2025-05-19 13:55:58,3232.82
150375,XAUUSD,1,0.01,SELL,2025-05-19 13:57:10,3230.31
154529,XAUUSD,1,0.01,BUY,2025-05-19 13:57:36,3232.14
128739,XAUUSD,1,0.01,SELL,2025-05-19 14:00:02,3228.12
134912,XAUUSD,1,0.01,SELL,2025-05-19 14:00:02,3228.29
126560,XAUUSD,3,0.03,SELL,2025-05-19 14:00:41,3228.26
132359,XAUUSD,1,0.01,BUY,2025-05-19 14:04:49,3229.5
150375,XAUUSD,1,0.01,BUY,2025-05-19 14:05:15,3231.58
150375,XAUUSD,1,0.01,SELL,2025-05-19 14:07:13,3227.97
150375,XAUUSD,1,0.01,BUY,2025-05-19 14:09:17,3230.64
147989,XAUUSD,1,0.01,BUY,2025-05-19 14:11:54,3233
147989,XAUUSD,1,0.01,SELL,2025-05-19 14:13:45,3233.43
147989,XAUUSD,1,0.01,SELL,2025-05-19 14:14:34,3235.22
147989,XAUUSD,1,0.01,SELL,2025-05-19 14:15:01,3238.02
147989,XAUUSD,1,0.01,SELL,2025-05-19 14:15:12,3241.37
150375,XAUUSD,1,0.01,SELL,2025-05-19 14:25:51,3233.21
150375,XAUUSD,1,0.01,SELL,2025-05-19 14:26:43,3231.03
156158,XAUUSD,1,0.01,BUY,2025-05-19 14:28:43,3231.54
156150,XAUUSD,1,0.01,BUY,2025-05-19 14:31:44,3231.91
134902,XAUUSD,1,0.01,SELL,2025-05-19 14:33:18,3228.74
151112,XAUUSD,1,0.01,SELL,2025-05-19 14:37:33,3226.07
128739,XAUUSD,1,0.01,BUY,2025-05-19 14:39:54,3230.07
134912,XAUUSD,1,0.01,BUY,2025-05-19 14:39:54,3230.07
147989,XAUUSD,1,0.01,BUY,2025-05-19 14:39:55,3230.06
147989,XAUUSD,1,0.01,BUY,2025-05-19 14:41:47,3229.18
156150,XAUUSD,1,0.01,SELL,2025-05-19 14:42:33,3230.77
153295,XAUUSD,1,0.01,BUY,2025-05-19 14:49:45,3230.34
156158,XAUUSD,2,0.02,BUY,2025-05-19 15:01:54,3227.29
156095,XAUUSD,1,0.01,SELL,2025-05-19 15:05:42,3221.55
153801,XAUUSD,1,0.01,BUY,2025-05-19 15:05:52,3222.89
129107,XAUUSD,1,0.01,BUY,2025-05-19 15:07:32,3220
156071,XAUUSD,1,0.01,SELL,2025-05-19 15:12:53,3220.83
156150,XAUUSD,1,0.01,SELL,2025-05-19 15:14:46,3222.39
121367,XAUUSD,1,0.01,BUY,2025-05-19 15:16:11,3225.4
156150,XAUUSD,1,0.01,SELL,2025-05-19 15:17:48,3226.66
151112,XAUUSD,1,0.01,SELL,2025-05-19 15:19:09,3227.56
141017,XAUUSD,1,0.01,SELL,2025-05-19 15:21:08,3226.78
141017,XAUUSD,1,0.01,SELL,2025-05-19 15:21:16,3226.86
141017,XAUUSD,1,0.01,SELL,2025-05-19 15:21:24,3227.26
156095,XAUUSD,1,0.01,SELL,2025-05-19 15:23:18,3227.11
156150,XAUUSD,1,0.01,SELL,2025-05-19 15:28:04,3232.54
156177,XAUUSD,3,0.03,BUY,2025-05-19 15:30:35,3234.14
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:30:48,3235.12
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:31:08,3234.3
137013,XAUUSD,1,0.01,SELL,2025-05-19 15:33:03,3235.11
156095,XAUUSD,1,0.01,SELL,2025-05-19 15:35:58,3230
122736,XAUUSD,2,0.02,BUY,2025-05-19 15:36:07,3230.023
150375,XAUUSD,1,0.01,SELL,2025-05-19 15:38:31,3228.52
150375,XAUUSD,1,0.01,BUY,2025-05-19 15:40:15,3231.97
147989,XAUUSD,1,0.01,BUY,2025-05-19 15:43:08,3230.81
147989,XAUUSD,1,0.01,BUY,2025-05-19 15:46:11,3232.05
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:48:47,3234.53
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:49:12,3234.73
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:50:35,3234.68
147989,XAUUSD,1,0.01,SELL,2025-05-19 15:50:49,3234.33
154598,XAUUSD,1,0.01,BUY,2025-05-19 15:58:01,3234.75
156216,XAUUSD,1,0.01,BUY,2025-05-19 16:03:08,3234.8
146803,XAUUSD,1,0.01,SELL,2025-05-19 16:04:26,3233.4
